LATITUDE,LONGITUDE,ELEVATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,Year,Month,Day,DayOfYear
48.55943,-93.39554,352.6,3.6,0.0,0.0,0.0,6.4,13.3,1.1,2015,4,25,115
48.55943,-93.39554,352.6,1.2,0.0,0.0,0.0,6.7,15.6,-4.9,2015,4,26,116
48.55943,-93.39554,352.6,1.2,0.0,0.0,0.0,7.9,20.0,-4.9,2015,4,27,117
48.55943,-93.39554,352.6,3.9,0.8,0.0,0.0,10.9,15.6,-2.1,2015,4,28,118
48.55943,-93.39554,352.6,1.9,0.0,0.0,0.0,5.7,16.1,-3.8,2015,4,29,119
48.55943,-93.39554,352.6,3.4,0.0,0.0,0.0,11.1,21.7,0.0,2015,4,30,120
48.55943,-93.39554,352.6,2.2,3.3,0.0,0.0,14.1,21.1,2.2,2015,5,1,121
48.55943,-93.39554,352.6,3.8,0.0,0.0,0.0,14.8,27.8,2.2,2015,5,2,122
48.55943,-93.39554,352.6,4.3,0.0,0.0,0.0,16.4,19.4,2.2,2015,5,3,123
48.55943,-93.39554,352.6,2.2,0.0,0.0,0.0,9.6,18.3,-1.0,2015,5,4,124
48.55943,-93.39554,352.6,2.7,0.0,0.0,0.0,10.7,23.3,-2.1,2015,5,5,125
48.55943,-93.39554,352.6,3.7,5.1,0.0,0.0,13.4,20.6,5.6,2015,5,6,126
48.55943,-93.39554,352.6,4.6,8.4,0.0,0.0,16.3,20.6,4.4,2015,5,7,127
48.55943,-93.39554,352.6,5.0,0.0,0.0,0.0,5.5,7.8,1.7,2015,5,8,128
48.55943,-93.39554,352.6,3.6,0.0,0.0,0.0,4.8,10.6,1.7,2015,5,9,129
48.55943,-93.39554,352.6,4.7,3.3,0.0,0.0,5.9,8.9,3.9,2015,5,10,130
48.55943,-93.39554,352.6,5.9,14.0,0.0,0.0,4.4,4.4,1.1,2015,5,11,131
48.55943,-93.39554,352.6,3.4,1.5,0.0,0.0,3.5,9.4,-1.0,2015,5,12,132
48.55943,-93.39554,352.6,3.2,2.8,0.0,0.0,4.1,8.9,-1.6,2015,5,13,133
48.55943,-93.39554,352.6,3.4,14.5,0.0,0.0,8.6,15.0,5.6,2015,5,14,134
48.55943,-93.39554,352.6,1.5,0.5,0.0,0.0,9.5,16.1,4.4,2015,5,15,135
48.55943,-93.39554,352.6,2.7,4.6,0.0,0.0,12.2,23.3,1.1,2015,5,16,136
48.55943,-93.39554,352.6,4.3,27.4,0.0,0.0,16.0,21.7,5.0,2015,5,17,137
48.55943,-93.39554,352.6,6.4,18.3,0.0,0.0,4.6,5.0,0.6,2015,5,18,138
48.55943,-93.39554,352.6,2.9,0.0,0.0,0.0,4.9,13.9,-2.1,2015,5,19,139
48.55943,-93.39554,352.6,2.7,0.0,0.0,0.0,8.8,21.1,-1.6,2015,5,20,140
48.55943,-93.39554,352.6,3.3,0.0,0.0,0.0,13.1,17.8,1.1,2015,5,21,141
48.55943,-93.39554,352.6,1.8,0.0,0.0,0.0,11.2,23.9,-1.0,2015,5,22,142
48.55943,-93.39554,352.6,3.0,0.0,0.0,0.0,17.6,26.7,7.2,2015,5,23,143
48.55943,-93.39554,352.6,1.0,0.0,0.0,0.0,17.3,26.1,5.6,2015,5,24,144
48.55943,-93.39554,352.6,0.9,0.3,0.0,0.0,15.5,18.9,10.6,2015,5,25,145
48.55943,-93.39554,352.6,1.2,0.0,0.0,0.0,15.0,25.0,5.0,2015,5,26,146
48.55943,-93.39554,352.6,2.7,0.0,0.0,0.0,17.5,25.6,7.2,2015,5,27,147
48.55943,-93.39554,352.6,2.6,13.5,0.0,0.0,13.7,18.3,9.4,2015,5,28,148
48.55943,-93.39554,352.6,5.1,4.3,0.0,0.0,13.4,15.6,4.4,2015,5,29,149
48.55943,-93.39554,352.6,3.2,0.0,0.0,0.0,6.5,12.2,-0.5,2015,5,30,150
48.55943,-93.39554,352.6,2.5,0.0,0.0,0.0,7.9,17.2,-0.5,2015,5,31,151
48.55943,-93.39554,352.6,3.1,0.0,0.0,0.0,11.1,21.7,-1.0,2015,6,1,152
48.55943,-93.39554,352.6,2.4,14.7,0.0,0.0,15.3,18.9,12.2,2015,6,2,153
48.55943,-93.39554,352.6,2.5,5.6,0.0,0.0,15.8,18.9,13.3,2015,6,3,154
48.55943,-93.39554,352.6,3.3,0.0,0.0,0.0,16.6,21.7,8.9,2015,6,4,155
48.55943,-93.39554,352.6,2.4,0.0,0.0,0.0,15.0,22.8,6.1,2015,6,5,156
48.55943,-93.39554,352.6,3.4,22.4,0.0,0.0,14.6,21.7,6.7,2015,6,6,157
48.55943,-93.39554,352.6,3.0,0.0,0.0,0.0,16.2,23.3,12.8,2015,6,7,158
48.55943,-93.39554,352.6,2.4,0.0,0.0,0.0,17.3,21.7,7.8,2015,6,8,159
48.55943,-93.39554,352.6,3.2,0.0,0.0,0.0,16.2,27.8,6.7,2015,6,9,160
48.55943,-93.39554,352.6,3.8,0.0,0.0,0.0,17.5,22.8,7.2,2015,6,10,161
48.55943,-93.39554,352.6,1.1,0.0,0.0,0.0,16.2,26.1,6.1,2015,6,11,162
48.55943,-93.39554,352.6,1.4,0.0,0.0,0.0,18.0,27.2,6.1,2015,6,12,163
48.55943,-93.39554,352.6,2.3,0.0,0.0,0.0,20.6,26.7,10.6,2015,6,13,164
48.55943,-93.39554,352.6,2.4,1.8,0.0,0.0,18.8,23.9,9.4,2015,6,14,165
48.55943,-93.39554,352.6,4.1,0.0,0.0,0.0,14.3,19.4,3.3,2015,6,15,166
48.55943,-93.39554,352.6,1.4,0.0,0.0,0.0,11.8,20.0,1.1,2015,6,16,167
48.55943,-93.39554,352.6,2.3,0.0,0.0,0.0,14.4,23.9,3.3,2015,6,17,168
48.55943,-93.39554,352.6,3.0,0.5,0.0,0.0,15.6,19.4,5.6,2015,6,18,169
48.55943,-93.39554,352.6,2.0,1.3,0.0,0.0,12.2,19.4,2.2,2015,6,19,170
48.55943,-93.39554,352.6,2.1,0.3,0.0,0.0,15.5,19.4,10.0,2015,6,20,171
48.55943,-93.39554,352.6,1.8,0.0,0.0,0.0,16.9,25.6,6.7,2015,6,21,172
48.55943,-93.39554,352.6,3.4,4.3,0.0,0.0,15.9,20.0,10.6,2015,6,22,173
48.55943,-93.39554,352.6,2.7,1.3,0.0,0.0,16.6,26.1,6.1,2015,6,23,174
48.55943,-93.39554,352.6,1.7,3.6,0.0,0.0,18.1,25.0,12.8,2015,6,24,175
48.55943,-93.39554,352.6,1.0,4.6,0.0,0.0,18.8,27.8,8.3,2015,6,25,176
48.55943,-93.39554,352.6,0.6,0.0,0.0,0.0,17.1,27.8,7.2,2015,6,26,177
48.55943,-93.39554,352.6,1.4,18.8,0.0,0.0,18.4,27.8,9.4,2015,6,27,178
48.55943,-93.39554,352.6,1.6,2.3,0.0,0.0,17.7,25.6,12.2,2015,6,28,179
48.55943,-93.39554,352.6,3.0,0.0,0.0,0.0,18.6,24.4,12.2,2015,6,29,180
48.55943,-93.39554,352.6,1.7,0.0,0.0,0.0,16.8,21.7,7.8,2015,6,30,181
48.55943,-93.39554,352.6,0.6,0.0,0.0,0.0,16.1,25.6,6.1,2015,7,1,182
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,18.1,25.0,10.6,2015,7,2,183
48.55943,-93.39554,352.6,2.9,0.0,0.0,0.0,21.1,26.7,10.6,2015,7,3,184
48.55943,-93.39554,352.6,2.0,1.3,0.0,0.0,18.4,27.2,7.8,2015,7,4,185
48.55943,-93.39554,352.6,2.6,1.3,0.0,0.0,21.7,26.7,13.9,2015,7,5,186
48.55943,-93.39554,352.6,3.8,0.0,0.0,0.0,16.1,17.8,7.8,2015,7,6,187
48.55943,-93.39554,352.6,1.7,0.0,0.0,0.0,13.7,22.8,2.8,2015,7,7,188
48.55943,-93.39554,352.6,2.0,0.0,0.0,0.0,14.3,21.1,4.4,2015,7,8,189
48.55943,-93.39554,352.6,1.7,0.0,0.0,0.0,16.6,26.1,8.3,2015,7,9,190
48.55943,-93.39554,352.6,2.4,0.0,0.0,0.0,20.7,30.0,9.4,2015,7,10,191
48.55943,-93.39554,352.6,1.7,0.0,0.0,0.0,20.7,28.9,10.6,2015,7,11,192
48.55943,-93.39554,352.6,3.1,11.2,0.0,0.0,21.6,26.7,17.8,2015,7,12,193
48.55943,-93.39554,352.6,1.9,1.8,0.0,0.0,20.6,25.6,16.7,2015,7,13,194
48.55943,-93.39554,352.6,2.3,0.0,0.0,0.0,20.6,24.4,16.1,2015,7,14,195
48.55943,-93.39554,352.6,2.8,3.3,0.0,0.0,19.4,26.7,14.4,2015,7,15,196
48.55943,-93.39554,352.6,1.7,10.4,0.0,0.0,19.8,23.9,15.6,2015,7,16,197
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,21.3,27.2,16.7,2015,7,17,198
48.55943,-93.39554,352.6,4.7,0.0,0.0,0.0,21.8,26.7,14.4,2015,7,18,199
48.55943,-93.39554,352.6,5.0,3.3,0.0,0.0,19.6,27.8,13.3,2015,7,19,200
48.55943,-93.39554,352.6,4.1,0.5,0.0,0.0,18.7,22.8,12.2,2015,7,20,201
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,16.7,23.3,8.3,2015,7,21,202
48.55943,-93.39554,352.6,1.2,0.0,0.0,0.0,16.5,26.7,5.0,2015,7,22,203
48.55943,-93.39554,352.6,1.9,0.0,0.0,0.0,23.0,30.6,15.6,2015,7,23,204
48.55943,-93.39554,352.6,3.6,2.0,0.0,0.0,22.4,26.7,12.2,2015,7,24,205
48.55943,-93.39554,352.6,1.4,0.0,0.0,0.0,19.9,29.4,9.4,2015,7,25,206
48.55943,-93.39554,352.6,1.1,0.0,0.0,0.0,23.1,32.2,13.3,2015,7,26,207
48.55943,-93.39554,352.6,2.2,0.0,0.0,0.0,23.5,30.6,13.3,2015,7,27,208
48.55943,-93.39554,352.6,4.3,2.0,0.0,0.0,23.4,27.8,18.3,2015,7,28,209
48.55943,-93.39554,352.6,6.2,0.3,0.0,0.0,18.9,23.3,16.1,2015,7,29,210
48.55943,-93.39554,352.6,4.0,0.0,0.0,0.0,19.2,26.1,12.8,2015,7,30,211
48.55943,-93.39554,352.6,4.7,0.0,0.0,0.0,18.3,24.4,12.2,2015,7,31,212
48.55943,-93.39554,352.6,3.2,0.0,0.0,0.0,19.1,27.2,11.1,2015,8,1,213
48.55943,-93.39554,352.6,4.5,5.3,0.0,0.0,18.8,22.8,12.8,2015,8,2,214
48.55943,-93.39554,352.6,3.8,1.3,0.0,0.0,16.1,18.9,7.2,2015,8,3,215
48.55943,-93.39554,352.6,1.9,0.0,0.0,0.0,13.4,19.4,5.0,2015,8,4,216
48.55943,-93.39554,352.6,1.9,0.0,0.0,0.0,13.4,22.8,3.3,2015,8,5,217
48.55943,-93.39554,352.6,4.3,36.1,0.0,0.0,17.1,19.4,14.4,2015,8,6,218
48.55943,-93.39554,352.6,2.7,3.0,0.0,0.0,18.1,23.9,16.1,2015,8,7,219
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,20.8,27.8,12.2,2015,8,8,220
48.55943,-93.39554,352.6,2.1,0.0,0.0,0.0,18.1,25.6,10.0,2015,8,9,221
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,18.3,25.0,9.4,2015,8,10,222
48.55943,-93.39554,352.6,1.1,0.0,0.0,0.0,17.1,26.7,7.2,2015,8,11,223
48.55943,-93.39554,352.6,2.3,2.8,0.0,0.0,21.2,28.3,14.4,2015,8,12,224
48.55943,-93.39554,352.6,2.3,0.0,0.0,0.0,23.2,30.6,16.1,2015,8,13,225
48.55943,-93.39554,352.6,1.0,0.0,0.0,0.0,22.4,31.1,12.2,2015,8,14,226
48.55943,-93.39554,352.6,3.4,1.5,0.0,0.0,24.9,31.7,18.3,2015,8,15,227
48.55943,-93.39554,352.6,4.1,2.3,0.0,0.0,22.6,23.9,13.9,2015,8,16,228
48.55943,-93.39554,352.6,2.2,0.0,0.0,0.0,15.8,21.7,5.6,2015,8,17,229
48.55943,-93.39554,352.6,2.6,0.3,0.0,0.0,13.1,21.1,3.3,2015,8,18,230
48.55943,-93.39554,352.6,6.1,22.4,0.0,0.0,14.6,15.0,11.7,2015,8,19,231
48.55943,-93.39554,352.6,3.6,0.0,0.0,0.0,13.8,21.1,8.3,2015,8,20,232
48.55943,-93.39554,352.6,2.4,3.0,0.0,0.0,15.6,25.0,10.6,2015,8,21,233
48.55943,-93.39554,352.6,4.0,1.3,0.0,0.0,19.3,24.4,14.4,2015,8,22,234
48.55943,-93.39554,352.6,5.0,8.9,0.0,0.0,14.9,16.1,8.3,2015,8,23,235
48.55943,-93.39554,352.6,5.9,2.5,0.0,0.0,9.4,11.7,7.8,2015,8,24,236
48.55943,-93.39554,352.6,3.5,0.0,0.0,0.0,13.3,20.0,3.9,2015,8,25,237
48.55943,-93.39554,352.6,0.6,0.0,0.0,0.0,11.7,22.2,1.1,2015,8,26,238
48.55943,-93.39554,352.6,1.1,0.0,0.0,0.0,13.1,24.4,2.8,2015,8,27,239
48.55943,-93.39554,352.6,2.4,1.3,0.0,0.0,19.3,27.2,13.9,2015,8,28,240
48.55943,-93.39554,352.6,2.0,0.0,0.0,0.0,21.1,23.3,18.3,2015,8,29,241
48.55943,-93.39554,352.6,2.3,0.0,0.0,0.0,21.0,28.3,16.7,2015,8,30,242
48.55943,-93.39554,352.6,3.2,0.0,0.0,0.0,22.2,27.8,16.7,2015,8,31,243
48.55943,-93.39554,352.6,1.1,0.0,0.0,0.0,19.5,27.8,8.9,2015,9,1,244
48.55943,-93.39554,352.6,2.5,0.0,0.0,0.0,18.7,28.9,9.4,2015,9,2,245
48.55943,-93.39554,352.6,3.8,0.0,0.0,0.0,20.9,28.9,13.9,2015,9,3,246
48.55943,-93.39554,352.6,4.2,6.1,0.0,0.0,20.9,30.0,12.8,2015,9,4,247
48.55943,-93.39554,352.6,2.2,15.0,0.0,0.0,22.3,26.7,18.9,2015,9,5,248
48.55943,-93.39554,352.6,2.5,4.1,0.0,0.0,22.7,27.8,17.8,2015,9,6,249
48.55943,-93.39554,352.6,1.2,0.0,0.0,0.0,17.7,23.3,7.2,2015,9,7,250
48.55943,-93.39554,352.6,2.7,0.0,0.0,0.0,14.8,20.6,5.6,2015,9,8,251
48.55943,-93.39554,352.6,3.1,0.0,0.0,0.0,11.2,18.9,4.4,2015,9,9,252
48.55943,-93.39554,352.6,3.0,0.0,0.0,0.0,9.6,15.6,1.1,2015,9,10,253
48.55943,-93.39554,352.6,2.4,0.0,0.0,0.0,10.3,16.7,1.1,2015,9,11,254
48.55943,-93.39554,352.6,2.1,0.0,0.0,0.0,10.2,20.6,1.1,2015,9,12,255
48.55943,-93.39554,352.6,4.2,0.0,0.0,0.0,16.3,25.6,10.0,2015,9,13,256
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,16.9,17.8,13.9,2015,9,14,257
48.55943,-93.39554,352.6,3.3,0.0,0.0,0.0,19.8,28.3,14.4,2015,9,15,258
48.55943,-93.39554,352.6,2.3,1.5,0.0,0.0,22.1,26.7,18.9,2015,9,16,259
48.55943,-93.39554,352.6,3.0,0.0,0.0,0.0,20.7,24.4,10.0,2015,9,17,260
48.55943,-93.39554,352.6,3.1,0.0,0.0,0.0,13.0,18.9,2.8,2015,9,18,261
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,11.0,21.7,1.1,2015,9,19,262
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,14.7,22.8,5.6,2015,9,20,263
48.55943,-93.39554,352.6,3.8,0.0,0.0,0.0,18.8,27.2,12.8,2015,9,21,264
48.55943,-93.39554,352.6,2.2,0.0,0.0,0.0,14.8,17.8,1.7,2015,9,22,265
48.55943,-93.39554,352.6,3.3,0.3,0.0,0.0,11.1,16.7,7.8,2015,9,23,266
48.55943,-93.39554,352.6,2.1,2.3,0.0,0.0,12.6,13.9,11.1,2015,9,24,267
48.55943,-93.39554,352.6,1.9,0.0,0.0,0.0,15.3,19.4,13.9,2015,9,25,268
48.55943,-93.39554,352.6,3.1,0.0,0.0,0.0,17.5,23.3,13.3,2015,9,26,269
48.55943,-93.39554,352.6,2.2,0.8,0.0,0.0,18.1,21.7,7.2,2015,9,27,270
48.55943,-93.39554,352.6,3.2,0.0,0.0,0.0,11.3,17.8,-2.1,2015,9,28,271
48.55943,-93.39554,352.6,1.6,0.0,0.0,0.0,5.2,14.4,-4.9,2015,9,29,272
48.55943,-93.39554,352.6,2.3,0.0,0.0,0.0,7.1,18.9,-2.1,2015,9,30,273
48.55943,-93.39554,352.6,3.1,0.0,0.0,0.0,9.3,17.8,1.7,2015,10,1,274
48.55943,-93.39554,352.6,3.7,0.0,0.0,0.0,7.2,15.6,-2.7,2015,10,2,275
48.55943,-93.39554,352.6,3.8,0.0,0.0,0.0,8.9,15.0,0.6,2015,10,3,276
48.55943,-93.39554,352.6,1.3,0.0,0.0,0.0,6.1,15.6,-2.1,2015,10,4,277
48.55943,-93.39554,352.6,1.9,0.3,0.0,0.0,9.3,12.2,6.7,2015,10,5,278
48.55943,-93.39554,352.6,2.5,0.0,0.0,0.0,7.2,12.2,-3.2,2015,10,6,279
48.55943,-93.39554,352.6,1.8,5.8,0.0,0.0,2.7,12.2,-6.6,2015,10,7,280
48.55943,-93.39554,352.6,3.3,1.3,0.0,0.0,8.3,11.1,5.0,2015,10,8,281
48.55943,-93.39554,352.6,2.2,0.0,0.0,0.0,8.9,13.9,5.6,2015,10,9,282
48.55943,-93.39554,352.6,3.4,0.0,0.0,0.0,11.6,20.0,7.2,2015,10,10,283
48.55943,-93.39554,352.6,3.0,0.0,0.0,0.0,16.9,31.1,6.1,2015,10,11,284
48.55943,-93.39554,352.6,5.8,4.1,0.0,0.0,13.6,15.0,3.9,2015,10,12,285
48.55943,-93.39554,352.6,3.2,0.0,0.0,0.0,5.6,10.0,-1.0,2015,10,13,286
48.55943,-93.39554,352.6,3.9,0.0,0.0,0.0,6.1,16.7,-1.0,2015,10,14,287
48.55943,-93.39554,352.6,5.1,0.3,0.0,0.0,6.1,11.1,-2.1,2015,10,15,288
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,0.6,5.6,-6.0,2015,10,16,289
48.55943,-93.39554,352.6,1.5,0.0,0.0,0.0,1.3,8.3,-6.6,2015,10,17,290
48.55943,-93.39554,352.6,3.2,0.0,0.0,0.0,2.3,16.1,-7.1,2015,10,18,291
48.55943,-93.39554,352.6,3.0,0.0,0.0,0.0,12.4,21.1,2.8,2015,10,19,292
48.55943,-93.39554,352.6,4.1,0.0,0.0,0.0,6.6,9.4,3.9,2015,10,20,293
48.55943,-93.39554,352.6,3.2,6.4,0.0,0.0,5.1,7.2,1.7,2015,10,21,294
48.55943,-93.39554,352.6,1.8,0.0,0.0,0.0,4.2,12.8,-3.8,2015,10,22,295
48.55943,-93.39554,352.6,3.0,22.6,0.0,0.0,4.4,7.8,0.6,2015,10,23,296
48.55943,-93.39554,352.6,4.3,0.3,0.0,0.0,8.1,13.3,2.2,2015,10,24,297
48.55943,-93.39554,352.6,0.7,0.0,0.0,0.0,3.3,8.3,-5.5,2015,10,25,298
48.55943,-93.39554,352.6,1.5,0.0,0.0,0.0,0.3,10.0,-7.7,2015,10,26,299
48.55943,-93.39554,352.6,5.1,0.3,0.0,0.0,4.3,11.1,0.0,2015,10,27,300
48.55943,-93.39554,352.6,4.4,28.4,0.0,0.0,6.7,9.4,2.8,2015,10,28,301
48.55943,-93.39554,352.6,4.2,1.8,0.0,0.0,5.1,7.2,2.2,2015,10,29,302
48.55943,-93.39554,352.6,2.4,0.8,0.0,0.0,3.5,8.3,1.1,2015,10,30,303
48.55943,-93.39554,352.6,2.3,1.0,0.0,0.0,5.2,7.2,1.1,2015,10,31,304
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,6.6,7.2,-0.5,2015,11,1,305
48.55943,-93.39554,352.6,1.1,0.0,0.0,0.0,2.1,7.8,-3.8,2015,11,2,306
48.55943,-93.39554,352.6,3.7,0.0,0.0,0.0,6.4,9.4,3.9,2015,11,3,307
48.55943,-93.39554,352.6,3.0,0.0,0.0,0.0,8.3,13.3,7.2,2015,11,4,308
48.55943,-93.39554,352.6,3.3,18.0,0.0,0.0,11.1,14.4,1.1,2015,11,5,309
48.55943,-93.39554,352.6,4.5,1.0,0.0,0.0,2.3,3.3,1.1,2015,11,6,310
48.55943,-93.39554,352.6,3.3,0.0,0.0,0.0,1.6,5.0,-1.6,2015,11,7,311
48.55943,-93.39554,352.6,3.6,0.0,0.0,0.0,5.2,15.0,0.6,2015,11,8,312
48.55943,-93.39554,352.6,1.7,0.0,0.0,0.0,7.5,15.0,0.6,2015,11,9,313
48.55943,-93.39554,352.6,2.1,0.0,0.0,0.0,7.9,15.0,5.0,2015,11,10,314
48.55943,-93.39554,352.6,3.2,0.0,0.0,0.0,7.2,8.9,2.8,2015,11,11,315
48.55943,-93.39554,352.6,5.0,4.3,23.0,0.0,3.2,4.4,-1.0,2015,11,12,316
48.55943,-93.39554,352.6,3.9,0.0,0.0,30.0,-0.2,3.3,-4.3,2015,11,13,317
48.55943,-93.39554,352.6,2.6,0.0,0.0,0.0,2.8,11.1,-1.6,2015,11,14,318
48.55943,-93.39554,352.6,3.3,0.0,0.0,0.0,2.6,11.1,-3.2,2015,11,15,319
48.55943,-93.39554,352.6,4.7,10.9,0.0,0.0,5.1,8.9,2.2,2015,11,16,320
48.55943,-93.39554,352.6,2.8,13.5,0.0,0.0,8.7,9.4,8.3,2015,11,17,321
48.55943,-93.39554,352.6,3.9,29.5,0.0,0.0,9.0,12.2,1.1,2015,11,18,322
48.55943,-93.39554,352.6,6.8,4.6,38.0,50.0,-1.3,1.1,-6.6,2015,11,19,323
48.55943,-93.39554,352.6,4.8,0.3,3.0,50.0,-6.2,-4.9,-7.7,2015,11,20,324
48.55943,-93.39554,352.6,2.1,0.0,0.0,50.0,-7.7,-6.6,-16.6,2015,11,21,325
48.55943,-93.39554,352.6,2.1,2.5,30.0,50.0,-11.2,-3.2,-17.1,2015,11,22,326
48.55943,-93.39554,352.6,2.0,0.0,3.0,80.0,-2.3,0.0,-4.3,2015,11,23,327
48.55943,-93.39554,352.6,2.5,0.0,0.0,80.0,-1.8,1.1,-6.0,2015,11,24,328
48.55943,-93.39554,352.6,3.6,0.0,0.0,50.0,0.5,1.7,-3.2,2015,11,25,329
48.55943,-93.39554,352.6,4.2,0.0,0.0,50.0,-5.0,-3.2,-11.0,2015,11,26,330
48.55943,-93.39554,352.6,2.6,0.0,0.0,50.0,-11.0,-6.0,-17.7,2015,11,27,331
48.55943,-93.39554,352.6,2.1,0.0,0.0,30.0,-7.3,-0.5,-13.2,2015,11,28,332
48.55943,-93.39554,352.6,0.9,0.0,0.0,30.0,-9.0,1.1,-14.3,2015,11,29,333
48.55943,-93.39554,352.6,1.1,0.0,0.0,30.0,-6.4,2.2,-11.6,2015,11,30,334
48.55943,-93.39554,352.6,2.7,4.8,5.0,50.0,0.8,1.7,0.6,2015,12,1,335
48.55943,-93.39554,352.6,1.4,0.0,0.0,50.0,0.0,3.3,-8.2,2015,12,2,336
48.55943,-93.39554,352.6,2.6,0.0,0.0,50.0,-4.4,2.8,-8.8,2015,12,3,337
48.55943,-93.39554,352.6,2.7,0.0,0.0,50.0,-1.9,7.2,-7.7,2015,12,4,338
48.55943,-93.39554,352.6,3.9,0.0,0.0,50.0,4.7,7.2,2.2,2015,12,5,339
48.55943,-93.39554,352.6,2.0,0.0,0.0,30.0,2.0,7.2,-2.7,2015,12,6,340
48.55943,-93.39554,352.6,3.0,0.0,0.0,0.0,0.0,4.4,-3.8,2015,12,7,341
48.55943,-93.39554,352.6,1.6,0.0,0.0,0.0,0.4,4.4,-2.7,2015,12,8,342
48.55943,-93.39554,352.6,2.0,0.0,0.0,0.0,-0.7,4.4,-6.0,2015,12,9,343
48.55943,-93.39554,352.6,2.9,5.1,3.0,0.0,2.6,3.3,-0.5,2015,12,10,344
48.55943,-93.39554,352.6,3.2,0.0,0.0,30.0,-1.3,-0.5,-2.7,2015,12,11,345
48.55943,-93.39554,352.6,2.2,0.8,25.0,50.0,-1.4,0.6,-2.1,2015,12,12,346
48.55943,-93.39554,352.6,2.9,3.6,43.0,50.0,0.2,1.1,-0.5,2015,12,13,347
48.55943,-93.39554,352.6,5.6,0.0,0.0,80.0,-1.6,-0.5,-5.5,2015,12,14,348
48.55943,-93.39554,352.6,3.9,0.3,3.0,80.0,-5.9,-4.9,-7.1,2015,12,15,349
48.55943,-93.39554,352.6,4.3,7.9,64.0,100.0,-4.0,-2.1,-6.0,2015,12,16,350
48.55943,-93.39554,352.6,5.1,1.0,46.0,130.0,-6.7,-5.5,-11.0,2015,12,17,351
48.55943,-93.39554,352.6,4.7,1.0,13.0,150.0,-12.1,-11.0,-16.6,2015,12,18,352
48.55943,-93.39554,352.6,3.3,0.0,0.0,150.0,-13.9,-8.2,-16.6,2015,12,19,353
48.55943,-93.39554,352.6,2.8,0.3,0.0,130.0,-7.1,-4.3,-8.2,2015,12,20,354
